name,birthdate,group,source,ohang_vector
오로라,1997-01-14,NATURE,kaggle,"[0.0454545455, 0.2727272727, 0.2727272727, 0.1363636364, 0.2727272727]"
아야미,2000-07-15,Bling Bling,kaggle,"[0.2608695652, 0.0869565217, 0.3913043478, 0.1304347826, 0.1304347826]"
에이든,2005-01-24,EPEX,kaggle,"[0.0869565217, 0.0869565217, 0.3913043478, 0.3043478261, 0.1304347826]"
아연,2002-09-29,Saturday,kaggle,"[0.0, 0.1904761905, 0.1428571429, 0.380952381, 0.2857142857]"
에이노,1996-05-01,VAV,kaggle,"[0.0454545455, 0.1363636364, 0.4545454545, 0.0454545455, 0.3181818182]"
비아이,1996-10-22,솔로,kaggle,"[0.0454545455, 0.1363636364, 0.3636363636, 0.0454545455, 0.4090909091]"
비에스,1995-04-14,14U,kaggle,"[0.4285714286, 0.0, 0.1428571429, 0.0952380952, 0.3333333333]"
베이비소울,1992-07-06,Lovelyz,kaggle,"[0.0434782609, 0.3043478261, 0.2173913043, 0.1304347826, 0.3043478261]"
바다,2002-05-28,Hinapia,kaggle,"[0.0869565217, 0.4782608696, 0.1304347826, 0.1739130435, 0.1304347826]"
배이,2004-12-28,NMIXX,kaggle,"[0.0909090909, 0.2272727273, 0.0909090909, 0.3636363636, 0.2272727273]"
백승,2004-10-05,EPEX,kaggle,"[0.0909090909, 0.3181818182, 0.0909090909, 0.3636363636, 0.1363636364]"
백아,1999-10-24,XUM,kaggle,"[0.2857142857, 0.0476190476, 0.4285714286, 0.2380952381, 0.0]"
백선우,1999-12-01,E'LAST,kaggle,"[0.4, 0.2, 0.1, 0.0, 0.3]"
백호,1995-07-21,NU'EST,kaggle,"[0.1818181818, 0.0454545455, 0.2727272727, 0.0454545455, 0.4545454545]"
백현,1992-05-06,EXO,kaggle,"[0.0869565217, 0.3043478261, 0.1304347826, 0.1739130435, 0.3043478261]"
바히에,2004-07-27,Kep1er,kaggle,"[0.1739130435, 0.2608695652, 0.3043478261, 0.2173913043, 0.0434782609]"
배인,2001-05-04,JUST B,kaggle,"[0.2272727273, 0.3181818182, 0.1818181818, 0.1363636364, 0.1363636364]"
뱀뱀,1997-05-02,GOT7,kaggle,"[0.347826087, 0.0869565217, 0.3913043478, 0.0434782609, 0.1304347826]"
방찬,1997-10-03,Stray Kids,kaggle,"[0.1363636364, 0.1363636364, 0.4545454545, 0.2272727273, 0.0454545455]"
바오,1996-05-12,XEED,kaggle,"[0.0, 0.2380952381, 0.2380952381, 0.2380952381, 0.2857142857]"
바로,1992-09-05,솔로,kaggle,"[0.1739130435, 0.0, 0.2173913043, 0.3913043478, 0.2173913043]"
바론,1992-04-19,솔로,kaggle,"[0.3043478261, 0.0, 0.3043478261, 0.1739130435, 0.2173913043]"
비범,1990-12-14,Block B,kaggle,"[0.0, 0.1818181818, 0.2727272727, 0.1363636364, 0.4090909091]"
비시,1994-07-18,1TEAM,kaggle,"[0.3043478261, 0.2173913043, 0.3043478261, 0.1739130435, 0.0]"
베카,1989-08-11,솔로,kaggle,"[0.1818181818, 0.1363636364, 0.1818181818, 0.1818181818, 0.3181818182]"
벨,2000-05-21,DUSTIN,kaggle,"[0.2272727273, 0.1363636364, 0.3636363636, 0.2272727273, 0.0454545455]"
벨,2001-11-03,Cignature,kaggle,"[0.0, 0.347826087, 0.3043478261, 0.347826087, 0.0]"
벤지,1992-05-03,B.I.G,kaggle,"[0.3181818182, 0.0, 0.3636363636, 0.1363636364, 0.1818181818]"
범규,2001-03-13,TXT,kaggle,"[0.4285714286, 0.1428571429, 0.0476190476, 0.2380952381, 0.1428571429]"
베시,2004-07-15,Lapillus,kaggle,"[0.347826087, 0.0869565217, 0.3043478261, 0.2173913043, 0.0434782609]"
비안,2001-02-13,MAJORS,kaggle,"[0.1739130435, 0.3913043478, 0.2173913043, 0.2173913043, 0.0]"
비비,1998-09-27,솔로,kaggle,"[0.1363636364, 0.2272727273, 0.2727272727, 0.3181818182, 0.0454545455]"
빅,2001-04-25,MCND,kaggle,"[0.0434782609, 0.3043478261, 0.3913043478, 0.1304347826, 0.1304347826]"
빈,1993-10-28,Hot Blood Youth,kaggle,"[0.0, 0.2272727273, 0.1818181818, 0.2272727273, 0.3636363636]"
빛,2004-07-21,BAE173,kaggle,"[0.1304347826, 0.0434782609, 0.3043478261, 0.4347826087, 0.0869565217]"
빛새온,1995-06-04,MONT,kaggle,"[0.2727272727, 0.3636363636, 0.0909090909, 0.1363636364, 0.1363636364]"
비토,1996-08-24,UP10TION,kaggle,"[0.0, 0.3181818182, 0.0909090909, 0.1818181818, 0.4090909091]"
비주,1994-01-08,Topp Dogg,kaggle,"[0.2727272727, 0.1818181818, 0.1818181818, 0.2272727273, 0.1363636364]"
파랑,1994-01-18,Pungdeng-E,kaggle,"[0.3181818182, 0.0, 0.2727272727, 0.2272727273, 0.1818181818]"
비엠,1992-10-20,KARD,kaggle,"[0.0, 0.1739130435, 0.3913043478, 0.3043478261, 0.1304347826]"
보아,1986-11-05,솔로,kaggle,"[0.1304347826, 0.1739130435, 0.3913043478, 0.0869565217, 0.2173913043]"
보아,1987-01-14,KEEMBO,kaggle,"[0.1818181818, 0.1363636364, 0.1818181818, 0.1363636364, 0.3636363636]"
바비,1995-12-21,iKON,kaggle,"[0.1428571429, 0.2380952381, 0.2380952381, 0.0476190476, 0.3333333333]"
보은,2008-02-11,CLASS:y,kaggle,"[0.2272727273, 0.1818181818, 0.1818181818, 0.2272727273, 0.1818181818]"
보형,1991-03-31,KEEMBO,kaggle,"[0.2380952381, 0.0476190476, 0.1428571429, 0.380952381, 0.1904761905]"
복은,1994-10-12,SIGNAL,kaggle,"[0.2173913043, 0.1304347826, 0.3913043478, 0.2608695652, 0.0]"
봄,1984-03-24,2NE1,kaggle,"[0.2857142857, 0.4285714286, 0.0476190476, 0.0476190476, 0.1904761905]"
보미,1993-08-13,Apink,kaggle,"[0.1363636364, 0.2272727273, 0.0909090909, 0.4090909091, 0.1363636364]"
보민,2000-08-24,Golden Child,kaggle,"[0.4347826087, 0.0434782609, 0.2173913043, 0.2173913043, 0.0869565217]"
보민,2001-09-24,RedSquare,kaggle,"[0.1363636364, 0.2727272727, 0.0909090909, 0.5, 0.0]"
보나,1995-08-19,WJSN,kaggle,"[0.2272727273, 0.1818181818, 0.0909090909, 0.1363636364, 0.3636363636]"
보니,1999-10-30,Dreamnote,kaggle,"[0.6666666667, 0.0476190476, 0.2380952381, 0.0476190476, 0.0]"
보라,1999-03-03,Cherry Bullet,kaggle,"[0.6363636364, 0.1818181818, 0.1818181818, 0.0, 0.0]"
보라,1989-12-30,SISTAR,kaggle,"[0.1904761905, 0.2380952381, 0.1428571429, 0.0476190476, 0.380952381]"
보람,1986-03-22,솔로,kaggle,"[0.5, 0.1363636364, 0.1818181818, 0.1363636364, 0.0454545455]"
블릿,1995-12-02,VARSITY,kaggle,"[0.4, 0.3, 0.0, 0.0, 0.3]"
비엑스,1998-03-05,CIX,kaggle,"[0.4090909091, 0.0909090909, 0.1818181818, 0.1818181818, 0.1363636364]"
병관,1996-08-13,A.C.E,kaggle,"[0.0, 0.3636363636, 0.0909090909, 0.1363636364, 0.4090909091]"
병찬,1997-11-12,VICTON,kaggle,"[0.0454545455, 0.2727272727, 0.3636363636, 0.1363636364, 0.1818181818]"
캡,1992-11-04,Teen Top,kaggle,"[0.1739130435, 0.0434782609, 0.2173913043, 0.3913043478, 0.1739130435]"
차오루,1987-08-30,Fiestar,kaggle,"[0.2380952381, 0.0952380952, 0.1428571429, 0.3333333333, 0.1904761905]"
캐스퍼,1991-03-20,CROSS GENE,kaggle,"[0.2272727273, 0.0454545455, 0.4545454545, 0.2272727273, 0.0454545455]"
캐슬제이,1999-05-31,MCND,kaggle,"[0.2272727273, 0.1818181818, 0.3636363636, 0.0454545455, 0.1818181818]"
차훈,1994-07-12,N.Flying,kaggle,"[0.1818181818, 0.0909090909, 0.4545454545, 0.1363636364, 0.1363636364]"
채빈,1999-07-28,NATURE,kaggle,"[0.2272727273, 0.1818181818, 0.2727272727, 0.3181818182, 0.0]"
채현,1999-11-29,Bonus Baby,kaggle,"[0.55, 0.0, 0.1, 0.2, 0.15]"
채현,2002-04-26,Kep1er,kaggle,"[0.3181818182, 0.1818181818, 0.1818181818, 0.0, 0.3181818182]"
채인,2002-12-05,Purple Kiss,kaggle,"[0.0909090909, 0.4090909091, 0.1818181818, 0.0909090909, 0.2272727273]"
채정,1999-08-26,ALICE,kaggle,"[0.1818181818, 0.0454545455, 0.2727272727, 0.3636363636, 0.1363636364]"
채진,1995-12-26,MYNAME,kaggle,"[0.35, 0.0, 0.1, 0.2, 0.35]"
채경,1996-07-07,APRIL,kaggle,"[0.3181818182, 0.2727272727, 0.1818181818, 0.0454545455, 0.1818181818]"
채린,1999-10-20,FANATICS,kaggle,"[0.4545454545, 0.1818181818, 0.2727272727, 0.0909090909, 0.0]"
채린,2002-03-13,Cherry Bullet,kaggle,"[0.2272727273, 0.1818181818, 0.1818181818, 0.1818181818, 0.2272727273]"
채린,2003-03-31,ICHILLIN',kaggle,"[0.5238095238, 0.0476190476, 0.1428571429, 0.0, 0.2857142857]"
채령,2001-06-05,ITZY,kaggle,"[0.1363636364, 0.3181818182, 0.2727272727, 0.1363636364, 0.1363636364]"
채솔,1998-07-14,Cignature,kaggle,"[0.1739130435, 0.1304347826, 0.4782608696, 0.0434782609, 0.1739130435]"
채원,1997-11-08,APRIL,kaggle,"[0.3636363636, 0.1363636364, 0.1818181818, 0.1363636364, 0.1818181818]"
채원,2003-06-04,CLASS:y,kaggle,"[0.0434782609, 0.2608695652, 0.3913043478, 0.1739130435, 0.1304347826]"
채원,2000-08-01,LE SSERAFIM,kaggle,"[0.2727272727, 0.0454545455, 0.2727272727, 0.2727272727, 0.1363636364]"
채원,2000-03-18,Maka Maka,kaggle,"[0.4761904762, 0.0, 0.2380952381, 0.0952380952, 0.1904761905]"
채이,2003-01-06,CRAXY,kaggle,"[0.1818181818, 0.1818181818, 0.3636363636, 0.0454545455, 0.2272727273]"
채연,1997-12-01,DIA,kaggle,"[0.0454545455, 0.2727272727, 0.2727272727, 0.1818181818, 0.2272727273]"
채연,2000-01-11,IZ*ONE,kaggle,"[0.2272727273, 0.0909090909, 0.5454545455, 0.0454545455, 0.0909090909]"
채연,2004-12-04,tripleS,kaggle,"[0.2272727273, 0.3181818182, 0.0909090909, 0.1818181818, 0.1818181818]"
채영,2000-05-14,fromis_9,kaggle,"[0.0434782609, 0.1304347826, 0.2173913043, 0.347826087, 0.2608695652]"
채영,1999-04-23,Twice,kaggle,"[0.4090909091, 0.1363636364, 0.3636363636, 0.0454545455, 0.0454545455]"
차희,1996-03-24,MELODYDAY,kaggle,"[0.1904761905, 0.0952380952, 0.0476190476, 0.4285714286, 0.2380952381]"
찬,1997-12-31,A.C.E,kaggle,"[0.0454545455, 0.3181818182, 0.2727272727, 0.0454545455, 0.3181818182]"
찬,1998-01-26,iKON,kaggle,"[0.0, 0.0909090909, 0.2727272727, 0.2727272727, 0.3636363636]"
찬,1999-12-08,TOO,kaggle,"[0.380952381, 0.2857142857, 0.1428571429, 0.0, 0.1904761905]"
창빈,1999-08-11,Stray Kids,kaggle,"[0.4090909091, 0.0454545455, 0.2727272727, 0.1363636364, 0.1363636364]"
창범,1993-10-07,솔로,kaggle,"[0.0, 0.0, 0.0, 0.9, 0.1]"
창규,1993-07-06,UNVS,kaggle,"[0.0, 0.1904761905, 0.3333333333, 0.1904761905, 0.2857142857]"
창조,1995-11-16,Teen Top,kaggle,"[0.25, 0.1, 0.0, 0.2, 0.45]"
창섭,1991-02-26,BtoB,kaggle,"[0.3636363636, 0.2727272727, 0.1818181818, 0.1818181818, 0.0]"
창선,1996-03-17,24K,kaggle,"[0.1904761905, 0.0952380952, 0.1428571429, 0.1428571429, 0.4285714286]"
창욱,2001-07-25,DRIPPIN,kaggle,"[0.1304347826, 0.1739130435, 0.4782608696, 0.1739130435, 0.0434782609]"
찬희,2000-01-17,SF9,kaggle,"[0.3636363636, 0.1363636364, 0.3636363636, 0.0909090909, 0.0454545455]"
찬미,1996-06-19,AoA,kaggle,"[0.1428571429, 0.4761904762, 0.0476190476, 0.0, 0.3333333333]"
찬성,1990-02-11,2PM,kaggle,"[0.1739130435, 0.4347826087, 0.3043478261, 0.0869565217, 0.0]"
샨티,2002-12-15,Lapillus,kaggle,"[0.0, 0.5, 0.0909090909, 0.0454545455, 0.3636363636]"
찬열,1992-11-27,EXO,kaggle,"[0.0909090909, 0.2272727273, 0.1818181818, 0.2272727273, 0.2727272727]"
찬용,1993-04-29,100%,kaggle,"[0.0909090909, 0.0909090909, 0.2727272727, 0.3636363636, 0.1818181818]"
찬영,2000-11-20,D-CRUNCH,kaggle,"[0.0909090909, 0.2727272727, 0.1818181818, 0.0909090909, 0.3636363636]"
첸,1992-09-21,EXO,kaggle,"[0.0, 0.0, 0.1428571429, 0.5238095238, 0.3333333333]"
성소,1998-07-15,솔로,kaggle,"[0.2272727273, 0.0909090909, 0.3636363636, 0.0, 0.3181818182]"
천러,2001-11-22,NCT,kaggle,"[0.0454545455, 0.1363636364, 0.4545454545, 0.1818181818, 0.1818181818]"
청음,1996-06-19,Ho1iday,kaggle,"[0.1428571429, 0.4761904762, 0.0476190476, 0.0, 0.3333333333]"
치유,1998-08-16,X:IN,kaggle,"[0.347826087, 0.0869565217, 0.3043478261, 0.2173913043, 0.0434782609]"
지아이,2000-01-22,FANATICS,kaggle,"[0.380952381, 0.0952380952, 0.4285714286, 0.0476190476, 0.0476190476]"
치훈,1999-04-27,TOO,kaggle,"[0.2380952381, 0.0, 0.5238095238, 0.1904761905, 0.0476190476]"
치키타,2009-02-17,BABYMONSTER,kaggle,"[0.1304347826, 0.2608695652, 0.3043478261, 0.0869565217, 0.2173913043]"
치우,2002-09-02,Kingdom,kaggle,"[0.0, 0.1818181818, 0.1818181818, 0.3181818182, 0.3181818182]"
클로이,2001-01-06,Cignature,kaggle,"[0.0434782609, 0.1304347826, 0.5652173913, 0.1739130435, 0.0869565217]"
초아,1990-03-06,솔로,kaggle,"[0.1818181818, 0.3636363636, 0.1818181818, 0.2727272727, 0.0]"
초아,1990-07-12,Crayon Pop,kaggle,"[0.1739130435, 0.2608695652, 0.3913043478, 0.0869565217, 0.0869565217]"
최리,2001-06-04,LOONA,kaggle,"[0.0, 0.3043478261, 0.3913043478, 0.2173913043, 0.0869565217]"
최인,1996-02-11,E'LAST,kaggle,"[0.2727272727, 0.1818181818, 0.2727272727, 0.0909090909, 0.1818181818]"
최지안,1997-09-30,Newkidd,kaggle,"[0.2380952381, 0.0952380952, 0.2380952381, 0.2380952381, 0.1904761905]"
초롱,1991-03-03,Apink,kaggle,"[0.1739130435, 0.0869565217, 0.2173913043, 0.3043478261, 0.2173913043]"
초원,2005-08-18,ICHILLIN',kaggle,"[0.3636363636, 0.0454545455, 0.1818181818, 0.3636363636, 0.0454545455]"
초원,2002-09-16,LIGHTSUM,kaggle,"[0.0476190476, 0.380952381, 0.1428571429, 0.1904761905, 0.2380952381]"
초연,2001-08-01,bugAboo,kaggle,"[0.1304347826, 0.347826087, 0.2173913043, 0.2608695652, 0.0434782609]"
크리스,2002-11-19,BLITZERS,kaggle,"[0.2380952381, 0.1904761905, 0.0476190476, 0.2857142857, 0.2380952381]"
청하,1996-02-09,솔로,kaggle,"[0.1428571429, 0.3333333333, 0.0476190476, 0.0952380952, 0.380952381]"
천지,1993-10-05,Teen Top,kaggle,"[0.0476190476, 0.0476190476, 0.3333333333, 0.4761904762, 0.0952380952]"
츄,1999-10-20,LOONA,kaggle,"[0.4545454545, 0.1818181818, 0.2727272727, 0.0909090909, 0.0]"
씨엘,1991-02-26,2NE1,kaggle,"[0.3636363636, 0.2727272727, 0.1818181818, 0.1818181818, 0.0]"
신우,1991-06-16,B1A4,kaggle,"[0.1304347826, 0.5217391304, 0.2173913043, 0.1304347826, 0.0]"
코리,1990-11-25,24K,kaggle,"[0.2272727273, 0.4545454545, 0.0909090909, 0.0909090909, 0.1363636364]"
최상,1995-01-26,BOTOPASS,kaggle,"[0.0869565217, 0.4347826087, 0.3043478261, 0.1304347826, 0.0434782609]"
키야,2000-01-24,Onewe,kaggle,"[0.1818181818, 0.2272727273, 0.2727272727, 0.2727272727, 0.0454545455]"
시안,2001-04-04,bugAboo,kaggle,"[0.1904761905, 0.3333333333, 0.0476190476, 0.4285714286, 0.0]"
디애나,1995-09-10,Sonamoo,kaggle,"[0.4761904762, 0.0, 0.1428571429, 0.1904761905, 0.1904761905]"
디오,1993-01-12,EXO,kaggle,"[0.0, 0.1304347826, 0.2173913043, 0.2173913043, 0.4347826087]"
디원,1998-02-15,DKB,kaggle,"[0.347826087, 0.2173913043, 0.2173913043, 0.0434782609, 0.1739130435]"
다비,2000-01-19,AREAL,kaggle,"[0.1904761905, 0.2857142857, 0.2380952381, 0.0476190476, 0.2380952381]"
대휘,2001-01-29,AB6IX,kaggle,"[0.0869565217, 0.0, 0.4782608696, 0.1304347826, 0.3043478261]"
대현,1997-02-11,WEi,kaggle,"[0.3043478261, 0.1304347826, 0.2173913043, 0.1739130435, 0.1739130435]"
대현,1993-06-28,B.A.P,kaggle,"[0.0454545455, 0.1818181818, 0.2727272727, 0.3636363636, 0.1363636364]"
대일,1992-05-10,솔로,kaggle,"[0.0869565217, 0.347826087, 0.2173913043, 0.2173913043, 0.1304347826]"
대성,1989-04-26,BIGBANG,kaggle,"[0.0869565217, 0.3043478261, 0.4782608696, 0.0434782609, 0.0869565217]"
정다은,1994-06-03,2EYES,kaggle,"[0.0869565217, 0.1739130435, 0.3043478261, 0.3913043478, 0.0434782609]"
대왕님,1996-04-08,Pink Fantasy,kaggle,"[0.2857142857, 0.0952380952, 0.1428571429, 0.0, 0.4761904762]"
대열,1993-02-11,Golden Child,kaggle,"[0.2857142857, 0.0476190476, 0.0476190476, 0.1904761905, 0.4285714286]"
다혜,1993-06-12,솔로,kaggle,"[0.1904761905, 0.1904761905, 0.1428571429, 0.1904761905, 0.2857142857]"
다현,2005-04-29,Rocket Punch,kaggle,"[0.1818181818, 0.0454545455, 0.2727272727, 0.2727272727, 0.2272727273]"
다현,2003-01-08,tripleS,kaggle,"[0.0, 0.3043478261, 0.2173913043, 0.2608695652, 0.2173913043]"
다현,1998-05-28,Twice,kaggle,"[0.3636363636, 0.2727272727, 0.1818181818, 0.0454545455, 0.1363636364]"
다인,1990-06-25,솔로,kaggle,"[0.0, 0.3636363636, 0.0909090909, 0.4545454545, 0.0909090909]"
다인,2004-12-15,HOT ISSUE,kaggle,"[0.1363636364, 0.0909090909, 0.3636363636, 0.1363636364, 0.2727272727]"
데이지,1999-01-22,솔로,kaggle,"[0.3913043478, 0.0869565217, 0.3913043478, 0.0869565217, 0.0434782609]"
다정,1995-08-08,Hash Tag,kaggle,"[0.2727272727, 0.0454545455, 0.1818181818, 0.3181818182, 0.1818181818]"
다정,2003-07-31,Pixy,kaggle,"[0.2608695652, 0.2173913043, 0.3913043478, 0.0434782609, 0.0869565217]"
다경,2001-07-23,Hi-L,kaggle,"[0.1818181818, 0.3636363636, 0.1818181818, 0.1363636364, 0.1363636364]"
달린,1999-08-27,ANS,kaggle,"[0.2380952381, 0.0, 0.1428571429, 0.3333333333, 0.2857142857]"
담희,2000-06-21,ARTBEAT,kaggle,"[0.0434782609, 0.2173913043, 0.3043478261, 0.3043478261, 0.1304347826]"
담이,2001-06-07,ANS,kaggle,"[0.0869565217, 0.3043478261, 0.2173913043, 0.347826087, 0.0434782609]"
다미,1997-03-07,Dreamcatcher,kaggle,"[0.1818181818, 0.0909090909, 0.3636363636, 0.1818181818, 0.1818181818]"
다민,2004-03-24,Queenz Eye,kaggle,"[0.4090909091, 0.1363636364, 0.0909090909, 0.1363636364, 0.2272727273]"
데이먼,1996-07-02,VARSITY,kaggle,"[0.0952380952, 0.2857142857, 0.0476190476, 0.1904761905, 0.380952381]"
다나,2003-12-25,HOT ISSUE,kaggle,"[0.1363636364, 0.0454545455, 0.1818181818, 0.1363636364, 0.5]"
단아,1993-06-26,Matilda,kaggle,"[0.1363636364, 0.2272727273, 0.3636363636, 0.1818181818, 0.0909090909]"
다니엘,1996-12-10,Wanna One,kaggle,"[0.0, 0.2380952381, 0.0476190476, 0.3333333333, 0.380952381]"
다니엘,2005-04-11,NewJeans,kaggle,"[0.3181818182, 0.0, 0.2727272727, 0.3181818182, 0.0909090909]"
단,1997-11-01,Kingdom,kaggle,"[0.0434782609, 0.347826087, 0.3913043478, 0.1739130435, 0.0434782609]"
다니,1998-01-20,Ho1iday,kaggle,"[0.1818181818, 0.2727272727, 0.2727272727, 0.0909090909, 0.1818181818]"
다온,2000-12-10,DUSTIN,kaggle,"[0.1818181818, 0.0454545455, 0.2727272727, 0.0909090909, 0.4090909091]"
다라,1984-11-12,2NE1,kaggle,"[0.2380952381, 0.0476190476, 0.1428571429, 0.2380952381, 0.3333333333]"
다슬,2000-09-14,Maka Maka,kaggle,"[0.380952381, 0.0, 0.1428571429, 0.2857142857, 0.1904761905]"
다솜,1993-11-13,2EYES,kaggle,"[0.0476190476, 0.0476190476, 0.3333333333, 0.2380952381, 0.3333333333]"
다솜,1993-05-06,SISTAR,kaggle,"[0.0476190476, 0.4285714286, 0.0476190476, 0.2380952381, 0.2380952381]"
다원,1996-12-02,ARIAZ,kaggle,"[0.05, 0.1, 0.1, 0.2, 0.55]"
다원,1995-07-24,SF9,kaggle,"[0.2272727273, 0.2272727273, 0.2727272727, 0.0, 0.2727272727]"
다원,2000-05-12,VARSITY,kaggle,"[0.0434782609, 0.3043478261, 0.2173913043, 0.3913043478, 0.0434782609]"
다원,1997-03-16,WJSN,kaggle,"[0.1818181818, 0.4090909091, 0.1818181818, 0.0909090909, 0.1363636364]"
다예,1998-02-25,Berry Good,kaggle,"[0.5454545455, 0.0909090909, 0.1818181818, 0.0, 0.1818181818]"
다연,2003-03-02,Kep1er,kaggle,"[0.4347826087, 0.1304347826, 0.3043478261, 0.0434782609, 0.0869565217]"
다연,1995-11-17,XUM,kaggle,"[0.2, 0.1, 0.0, 0.0, 0.7]"
다영,1991-02-02,Blady,kaggle,"[0.1818181818, 0.1818181818, 0.2727272727, 0.1363636364, 0.2272727273]"
다영,1999-05-14,WJSN,kaggle,"[0.3181818182, 0.3636363636, 0.2727272727, 0.0454545455, 0.0]"
다윤,2000-11-20,Bonus Baby,kaggle,"[0.0909090909, 0.2727272727, 0.1818181818, 0.0909090909, 0.3636363636]"
